team_full_name,offensive,defensive,league,country
Santa Clara,46.3,67.2,Liga Portugal,Portugal
Anderlecht,59.2,56.2,Pro League,Belgium
Westerlo,55.1,60.3,Pro League,Belgium
Wolfsburg,62.6,51.9,Bundesliga,Germany
Wrexham,56.6,58.5,Championship,England
Elversberg,55.9,59.2,2. Bundesliga,Germany
Omonia Nicosia,58.3,56.5,Cyprus First Division,Cyprus
Molde,58.6,56.0,Norway Eliteserien,Norway
Hellas Verona,51.4,62.4,Serie A,Italy
RB Salzburg,59.0,55.5,Austrian Bundesliga,Austria
Utrecht,55.0,59.4,Eredivisie,Netherlands
Millwall,54.4,59.6,Championship,England
Birmingham City,49.6,63.2,Championship,England
Cagliari,49.5,63.3,Serie A,Italy
Charleroi,57.9,55.8,Pro League,Belgium
Pisa,51.2,62.0,Serie A,Italy
Apollon,48.4,63.9,Cyprus First Division,Cyprus
Brann,57.7,55.6,Norway Eliteserien,Norway
Derby County,52.5,60.6,Championship,England
Schalke 04,53.8,59.3,2. Bundesliga,Germany
Nantes,50.6,61.8,Ligue 1,France
Watford,53.4,59.2,Championship,England
Heidenheim,55.8,56.7,Bundesliga,Germany
Nordsjaelland,58.5,54.0,Danish Superliga,Denmark
Sabah,57.4,55.2,Azerbaijan Premier League,Azerbaijan
Alanyaspor,53.3,58.9,Süper Lig,Türkiye
Paphos,55.0,57.3,Cyprus First Division,Cyprus
Sheffield United,55.4,56.9,Championship,England
Celtic,59.5,52.5,Scottish Premiership,Scotland
Lech Poznan,61.4,50.2,Ekstraklasa,Poland
Paderborn,58.9,52.4,2. Bundesliga,Germany
Rangers,55.8,55.3,Scottish Premiership,Scotland
Brondby,52.0,58.8,Danish Superliga,Denmark
Qarabag,58.5,52.3,Azerbaijan Premier League,Azerbaijan
Gent,57.2,53.1,Pro League,Belgium
Cremonese,50.2,59.6,Serie A,Italy
Angers,47.6,61.5,Ligue 1,France
Malmo FF,53.3,56.6,Sweden Allsvenskan,Sweden
SonderjyskE,53.7,56.1,Danish Superliga,Denmark
Istanbul Basaksehir,53.7,55.6,Süper Lig,Türkiye
Goztepe,47.3,60.5,Süper Lig,Türkiye
Hannover 96,55.2,53.3,2. Bundesliga,Germany
Rijeka,50.4,57.8,Croatian HNL,Croatia
Metz,55.4,52.7,Ligue 1,France
West Bromwich Albion,48.1,59.4,Championship,England
Groningen,55.5,52.2,Eredivisie,Netherlands
Nacional,52.4,55.4,Liga Portugal,Portugal
Cercle Brugge,59.4,47.5,Pro League,Belgium
Hertha BSC,55.0,52.1,2. Bundesliga,Germany
Rakow Czestochowa,53.5,53.8,Ekstraklasa,Poland
Rosenborg,54.7,52.5,Norway Eliteserien,Norway
Sparta Praha,53.9,53.3,Czech First League,Czech Republic
Thun,62.4,43.0,Swiss Super League,Switzerland
Bochum,52.6,54.2,2. Bundesliga,Germany
BK Hacken,54.1,52.4,Sweden Allsvenskan,Sweden
Konyaspor,47.0,58.8,Süper Lig,Türkiye
Randers,49.2,57.0,Danish Superliga,Denmark
Darmstadt 98,57.1,48.8,2. Bundesliga,Germany
Bristol City,49.8,56.0,Championship,England
Hajduk Split,51.1,54.9,Croatian HNL,Croatia
Aris Limassol,52.4,53.3,Cyprus First Division,Cyprus
Blackburn Rovers,42.3,61.8,Championship,England
Jagiellonia Bialystok,55.7,49.7,Ekstraklasa,Poland
Mjallby AIF,50.8,54.7,Sweden Allsvenskan,Sweden
Samsunspor,45.0,59.7,Süper Lig,Türkiye
Odense,54.6,50.8,Danish Superliga,Denmark
Heerenveen,58.2,46.3,Eredivisie,Netherlands
Legia Warszawa,50.9,54.3,Ekstraklasa,Poland
OH Leuven,52.5,52.2,Pro League,Belgium
Stoke City,48.3,55.8,Championship,England
Zulte Waregem,53.2,51.3,Pro League,Belgium
Arouca,52.3,51.9,Liga Portugal,Portugal
Gornik Zabrze,51.9,52.3,Ekstraklasa,Poland
Arminia Bielefeld,54.2,49.7,2. Bundesliga,Germany
AEK Larnaca,45.0,57.9,Cyprus First Division,Cyprus
Fortuna Dusseldorf,48.9,54.6,2. Bundesliga,Germany
Piast Gliwice,54.0,49.2,Ekstraklasa,Poland
Slovan Liberec,47.6,55.3,Czech First League,Czech Republic
Young Boys,57.0,45.8,Swiss Super League,Switzerland
Djurgardens IF,52.9,50.1,Sweden Allsvenskan,Sweden
Magdeburg,59.1,42.3,2. Bundesliga,Germany
APOEL,52.2,50.2,Cyprus First Division,Cyprus
St.Gallen,55.4,46.6,Swiss Super League,Switzerland
Mechelen,49.5,52.7,Pro League,Belgium
Nurnberg,52.1,50.0,2. Bundesliga,Germany
Hull City,50.7,51.3,Championship,England
Motherwell,46.1,55.6,Scottish Premiership,Scotland
Queens Park Rangers,46.8,54.7,Championship,England
Lechia Gdansk,57.2,43.3,Ekstraklasa,Poland
Rizespor,48.9,52.6,Süper Lig,Türkiye
Leicester City,50.8,50.1,Championship,England
Alverca,45.8,54.6,Liga Portugal,Portugal
Antwerp,46.4,53.9,Pro League,Belgium
La Louviere,42.3,57.1,Pro League,Belgium
Dynamo Dresden,54.6,45.2,2. Bundesliga,Germany
Hearts,43.4,55.5,Scottish Premiership,Scotland
Pogon Szczecin,52.5,46.8,Ekstraklasa,Poland
Sturm Graz,48.4,50.5,Austrian Bundesliga,Austria
Valerenga,52.7,45.8,Norway Eliteserien,Norway
Cracovia Krakow,42.6,54.9,Ekstraklasa,Poland
Aris Thessaloniki,38.4,58.1,Greek Super League,Greece
Kairat,41.4,55.9,Kazakhstan Premier League,Kazakhstan
Sarpsborg 08,54.7,42.7,Norway Eliteserien,Norway
AIK,45.9,51.5,Sweden Allsvenskan,Sweden
Eintracht Braunschweig,47.2,50.4,2. Bundesliga,Germany
LASK,49.6,47.3,Austrian Bundesliga,Austria
Standard Liege,40.9,55.3,Pro League,Belgium
Estrela,46.2,50.6,Liga Portugal,Portugal
Sigma Olomouc,41.2,55.0,Czech First League,Czech Republic
Go Ahead Eag,52.6,43.7,Eredivisie,Netherlands
Sandefjord,50.4,45.5,Norway Eliteserien,Norway
Moreirense,37.6,56.9,Liga Portugal,Portugal
Charlton Athletic,39.3,55.4,Championship,England
Radomiak Radom,48.7,46.9,Ekstraklasa,Poland
Lausanne-Sport,50.7,44.7,Swiss Super League,Switzerland
Oxford United,41.9,53.1,Championship,England
Widzew Lodz,41.7,53.2,Ekstraklasa,Poland
Astana,49.6,45.6,Kazakhstan Premier League,Kazakhstan
Sion,45.3,49.7,Swiss Super League,Switzerland
Sparta R’dam,50.7,44.4,Eredivisie,Netherlands
Austria Wien,46.9,47.9,Austrian Bundesliga,Austria
GKS Katowice,47.4,47.4,Ekstraklasa,Poland
IFK Goteborg,47.9,46.8,Sweden Allsvenskan,Sweden
Telstar,51.3,42.9,Eredivisie,Netherlands
Preston North End,42.9,51.0,Championship,England
Turan,30.8,59.8,Azerbaijan Premier League,Azerbaijan
Banik Ostrava,49.1,44.1,Czech First League,Czech Republic
